Brand,Product Name,Price,Rating,Reviews,Image URL,Product Link
Decathlon,Kipsta - Unisex Robustness Football Backpack 17L,₹699,3.6,22,,https://www.ajio.com/decathlon-kipsta--unisex-robustness-football-backpack-17l/p/702655885_black?
Puma,Team Goal Core Backpack,₹817,3.9,46,,https://www.ajio.com/puma-team-goal-core-backpack/p/469767610_blue?
KENNETH COLE,Men Laptop Back Pack,"₹3,249",4,5,,https://www.ajio.com/kenneth-cole-men-laptop-back-pack/p/701578677_black?
Puma,Ignite Rolltop Backpack,"₹1,140",4.5,64,,https://www.ajio.com/puma-ignite-rolltop-backpack/p/702588389_blue?
Puma,Derby Backpack,₹800,4.3,707,,https://www.ajio.com/puma-derby-backpack/p/460571671_black?
KENNETH COLE,Colour-block Versatile Back Pack With Laptop Compartment,"₹2,499",3,2,,https://www.ajio.com/kenneth-cole-colour-block-versatile-back-pack-with-laptop-compartment/p/701580794_grey?
Jack & Jones,Men Corduroy Back Pack,"₹2,000",,,,https://www.ajio.com/jack--jones-men-corduroy-back-pack/p/700279436_navy?
Puma,SMASH Large Backpack,₹800,3.6,108,,https://www.ajio.com/puma-smash-large-backpack/p/701532285_green?
KENNETH COLE,Men Laptop Back Pack,"₹3,000",,,,https://www.ajio.com/kenneth-cole-men-laptop-back-pack/p/701576456_grey?
MAX,Men Heathered Backpack with Adjustable Straps,₹999,2.9,67,,https://www.ajio.com/max-men-heathered-backpack-with-adjustable-straps/p/701720108_black?
NETPLAY,Men Casual PU Everyday Backpack,"₹1,150",3.8,4,,https://www.ajio.com/netplay-men-casual-pu-everyday-backpack/p/443700765_black?
EUME,Unisex Nylon Laptop Backpack,"₹8,499",,,,https://www.ajio.com/eume-unisex-nylon-laptop-backpack/p/703486461_white?
Decathlon,Simond - Unisex MT 100 Easy-Fit Multiple Compartments Trekking Bag 70L,"₹7,199",,,,https://www.ajio.com/decathlon-simond--unisex-mt-100-easy-fit-multiple-compartments-trekking-bag-70l/p/702221746_brown?
Wildcraft,Men Backpack with Multiple Compartments,"₹2,399",3.9,21,,https://www.ajio.com/wildcraft-men-backpack-with-multiple-compartments/p/701286980_navy?
KENNETH COLE,Men Laptop Back Pack,"₹2,999",,,,https://www.ajio.com/kenneth-cole-men-laptop-back-pack/p/701578695_black?
HIDESIGN,Solid,"₹17,095",,,,https://www.ajio.com/hidesign-solid/p/703287801_tan?
Puma,Micro Print Back Pack,"₹3,290",5,2,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20250718/TN6P/687973cc6034bf77f0ce52a7/puma_black_micro_print_back_pack.jpg,https://www.ajio.com/puma-micro-print-back-pack/p/701974908_black?
Wildcraft,Unisex Backpack with Multiple Compartments,"₹1,999",4.1,10,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250302/PWT5/67c47eb959f83539800fb9c3/wildcraft_black_unisex_backpack_with_multiple_compartments.jpg,https://www.ajio.com/wildcraft-unisex-backpack-with-multiple-compartments/p/701286997_black?
NIKE,Brand Embroidered Heritage Backpack,"₹2,495",2.7,3,,https://www.ajio.com/nike-brand-embroidered-heritage-backpack/p/469814273_black?
Priority,Men Printed Everyday Backpack,₹667,3.8,44,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20260430/9K0F/69f325d4fcb5bb61d293c11b/priority_dark_green_men_printed_everyday_backpack.jpg,https://www.ajio.com/priority-men-printed-everyday-backpack/p/469810638_darkgreen?
TOMMY HILFIGER,Logo Print Everyday Back Pack,"₹1,949",5,4,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251108/HalO/690e51e1a470c5082f7c3be6/tommy_hilfiger_black_logo_print_everyday_back_pack.jpg,https://www.ajio.com/tommy-hilfiger-logo-print-everyday-back-pack/p/702171987_black?
Puma,Deviate 2 Backpack,"₹1,575",4.2,93,,https://www.ajio.com/puma-deviate-2-backpack/p/701532332_black?
Decathlon,Quechua - Unisex Arpenaz 500 Robustness Hiking Backpack 30L,"₹2,699",4.4,7,,https://www.ajio.com/decathlon-quechua--unisex-arpenaz-500-robustness-hiking-backpack-30l/p/703125504_black?
Priority,Unisex Laptop Backpack with Trolley Sleeve - 42 L,₹960,4.5,34,,https://www.ajio.com/priority-unisex-laptop-backpack-with-trolley-sleeve--42-l/p/469810651_darkgreen?
NIKE,"Men Brand Print 15"" Laptop Backpack","₹1,097",3.6,59,,https://www.ajio.com/nike-men-brand-print-15-laptop-backpack/p/469744862_orange?
TOMMY HILFIGER,"14"" Backpack with Adjustable Straps","₹2,057",4,7,,https://www.ajio.com/tommy-hilfiger-14-backpack-with-adjustable-straps/p/443547517_grey?
Skybags,Girls Bloom Printed School Backpack with Side Bottle Pockets & Pouch - 30L,₹823,4.3,373,,https://www.ajio.com/skybags-girls-bloom-printed-school-backpack-with-side-bottle-pockets--pouch--30l/p/700426355_pink?
Wildcraft,Men Backpack with Multiple Compartments,"₹1,899",3.2,9,,https://www.ajio.com/wildcraft-men-backpack-with-multiple-compartments/p/701286975_charcoal?
TOMMY HILFIGER,Men Back Pack,"₹1,874",3.9,48,,https://www.ajio.com/tommy-hilfiger-men-back-pack/p/700535630_black?
SAFARI,Men Xyro 25L Formal Laptop Backpack,"₹2,709",,,,https://www.ajio.com/safari-men-xyro-25l-formal-laptop-backpack/p/703346280_black?
MOKOBARA,Bagpack with Adjustable Shoulder Strap,"₹8,999",4,3,,https://www.ajio.com/mokobara-bagpack-with-adjustable-shoulder-strap/p/467076458_black?
Wildcraft,Unisex Laptop Back Pack,"₹1,227",2,4,,https://www.ajio.com/wildcraft-unisex-laptop-back-pack/p/701324776_black?
Priority,Men Printed Everyday Backpack,₹667,3.8,44,,https://www.ajio.com/priority-men-printed-everyday-backpack/p/469810638_darkgrey?
NIKE,Men Logo Print Backpack,"₹2,197",4.2,64,,https://www.ajio.com/nike-men-logo-print-backpack/p/469744885_blackgrey?
Puma,Unisex Logo Print Backpack,₹899,4.2,11,,https://www.ajio.com/puma-unisex-logo-print-backpack/p/469610161_black?
Da Milano,Men Travel Back Pack,"₹16,249",,,,https://www.ajio.com/da-milano-men-travel-back-pack/p/700608315_black?
WROGN,Polyester Everyday Backpack,"₹1,799",,,,https://www.ajio.com/wrogn-polyester-everyday-backpack/p/703111895_black?
Puma,Unisex Scuderia Ferrari Race Backpack,"₹3,599",,,,https://www.ajio.com/puma-unisex-scuderia-ferrari-race-backpack/p/701096089_black?
Decathlon,Quechua - Unisex Arpenaz 500 Robustness Hiking Backpack 20L,"₹1,999",,,,https://www.ajio.com/decathlon-quechua--unisex-arpenaz-500-robustness-hiking-backpack-20l/p/702221684_black?
Puma,BMW M Motorsport Everyday Backpack,"₹2,999",4,9,,https://www.ajio.com/puma-bmw-m-motorsport-everyday-backpack/p/701965484_black?
VENEER,Men Colourblock Backpack with Zip Closure,"₹4,050",,,,https://www.ajio.com/veneer-men-colourblock-backpack-with-zip-closure/p/466951279_grey?
SAFARI,Men Saga 32L Laptop Backpack,"₹1,064",,,,https://www.ajio.com/safari-men-saga-32l-laptop-backpack-/p/703346169_blue?
NETPLAY,Men Logo Print Backpack,₹630,4.5,39,,https://www.ajio.com/netplay-men-logo-print-backpack/p/442950795_navy?
TOMMY HILFIGER,Logo Print Everyday Back Pack,"₹1,491",3.7,3,,https://www.ajio.com/tommy-hilfiger-logo-print-everyday-back-pack/p/702171986_navy?
NU REPUBLIC,Triphop Voyager Drift Backpack,"₹3,999",,,,https://www.ajio.com/nu-republic-triphop-voyager-drift-backpack/p/702702480_black?
Puma,Logo Printed Colour-Block Back Pack,"₹1,600",3.4,14,,https://www.ajio.com/puma-logo-printed-colour-block-back-pack/p/701965365_black?
Puma,Academy All-Over-Printed Multi-Compartment Backpack,"₹1,000",2.8,8,,https://www.ajio.com/puma-academy-all-over-printed-multi-compartment-backpack/p/702045294_black?
ARMANI EXCHANGE,Men Malibu Backpack,"₹7,799",1.8,5,,https://www.ajio.com/armani-exchange-men-malibu-backpack/p/410521551_fc013?
Skybags,"Unisex Namma CSK 16.5"" Compatible Laptop Backpack with Shoe Pocket & Rain Cover-40L","₹1,653",5,2,,https://www.ajio.com/skybags-unisex-namma-csk-16-5-compatible-laptop-backpack-with-shoe-pocket--rain-cover-40l/p/4947749110_multi?
POLICE,Men Patterned Laptop Bag,"₹1,199",,,,https://www.ajio.com/police-men-patterned-laptop-bag/p/703548609_black?
NETPLAY,Men Laptop Backpack,"₹1,000",4.1,10,,https://www.ajio.com/netplay-men-laptop-backpack/p/442950789_black?
OZUKO,9409 Travel Backpack with Adjustable Straps,"₹8,055",4.3,3,,https://www.ajio.com/ozuko-9409-travel-backpack-with-adjustable-straps/p/469396703_grey?
TOMMY HILFIGER,"14"" Backpack with Adjustable Straps","₹2,259",4,2,,https://www.ajio.com/tommy-hilfiger-14-backpack-with-adjustable-straps/p/443547518_black?
Skybags,Unisex Voxel Casual Backpack with 2 Specious Compartments & Bottle Pocket - 22L,₹823,3.8,274,,https://www.ajio.com/skybags-unisex-voxel-casual-backpack-with-2-specious-compartments--bottle-pocket--22l/p/469200727_green?
Skybags,Unisex Flex Casual Backpack with Side Bottle Pocket & Padded Shoulder Straps - 22L,₹823,4.1,476,,https://www.ajio.com/skybags-unisex-flex-casual-backpack-with-side-bottle-pocket--padded-shoulder-straps--22l/p/469200737_blue?
Skybags,Unisex Propack Max Anti‑Theft Laptop Backpack with USB Port - 35L,"₹2,851",3.5,4,,https://www.ajio.com/skybags-unisex-propack-max-anti-theft-laptop-backpack-with-usb-port--35l/p/702113050_black?
Puma,ELITE PU Backpack,"₹2,279",4.3,22,,https://www.ajio.com/puma-elite-pu-backpack/p/701575674_black?
Decathlon,Quechua - Unisex NH Escape 100 Abrasion Resistant Hiking Backpack 17L,₹729,3.3,11,,https://www.ajio.com/decathlon-quechua--unisex-nh-escape-100-abrasion-resistant-hiking-backpack-17l/p/702221415_black?
Decathlon,Quechua - Men Multiple Compartments Hiking Backpacks 20L,₹699,3.7,26,,https://www.ajio.com/decathlon-quechua--men-multiple-compartments-hiking-backpacks-20l/p/702222169_black?
Wildcraft,Men Laptop Back Pack,"₹1,723",3,10,,https://www.ajio.com/wildcraft-men-laptop-back-pack/p/701324792_red?
LACOSTE,Textured Backpack with Adjustable Straps,"₹12,040",,,,https://www.ajio.com/lacoste-textured-backpack-with-adjustable-straps/p/463684167_black?
Puma,Chintz Backpack,"₹1,226",4.2,13,https://assets-jiocdn.ajio.com/medias/sys_master/root/20240713/rlYO/6691b3601d763220fa779747/puma_black_chintz_backpack.jpg,https://www.ajio.com/puma-chintz-backpack/p/700189187_black?
NIKE,Men Hayward Backpack with Adjustable Shoulder Straps,"₹3,007",4.3,32,https://assets-jiocdn.ajio.com/medias/sys_master/root/20250423/G5jE/680898dc7a6cd4182fed4503/nike_brown_men_hayward_backpack_with_adjustable_shoulder_straps.jpg,https://www.ajio.com/nike-men-hayward-backpack-with-adjustable-shoulder-straps/p/469754993_brown?
NIKE,Men Utility Speed Backpack,"₹3,996",4.4,50,,https://www.ajio.com/nike-men-utility-speed-backpack/p/469754986_black?
Priority,Unisex Laptop Backpack with Trolley Sleeve - 42 L,₹960,4.5,34,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20260514/QErx/6a05cae8fcb5bb61d2c231e6/priority_black_unisex_laptop_backpack_with_trolley_sleeve_-_42_l.jpg,https://www.ajio.com/priority-unisex-laptop-backpack-with-trolley-sleeve--42-l/p/469810651_black?
NIKE,Heritage Brand Print Backpack,"₹1,696",4.3,8,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20260226/Q5nd/699fdcb567bcd7539357877d/nike_red_heritage_brand_print_backpack.jpg,https://www.ajio.com/nike-heritage-brand-print-backpack/p/469811196_red?
